iter	Passed	Remaining
0	141	141318
1	147	73661
2	151	50484
3	157	39233
4	161	32229
5	164	27303
6	167	23745
7	173	21485
8	177	19512
9	199	19705
10	204	18342
11	213	17576
12	227	17268
13	235	16575
14	251	16495
15	320	19737
16	327	18909
17	330	18007
18	333	17196
19	336	16480
20	342	15986
21	349	15530
22	352	14988
23	358	14576
24	362	14118
25	368	13815
26	374	13485
27	380	13202
28	383	12850
29	388	12548
30	394	12340
31	397	12029
32	400	11728
33	405	11520
34	408	11259
35	411	11012
36	414	10776
37	416	10549
38	419	10331
39	422	10134
40	424	9939
41	428	9763
42	431	9594
43	435	9455
44	439	9328
45	443	9206
46	447	9069
47	451	8944
48	454	8824
49	458	8709
50	462	8597
51	465	8481
52	468	8368
53	471	8252
54	475	8176
55	481	8111
56	485	8025
57	488	7936
58	491	7841
59	494	7749
60	497	7659
61	501	7590
62	505	7512
63	509	7449
64	512	7368
65	515	7300
66	518	7219
67	520	7127
68	523	7064
69	526	6999
70	530	6941
71	533	6876
72	536	6816
73	539	6749
74	542	6692
75	545	6630
76	547	6566
77	550	6510
78	553	6454
79	556	6403
80	559	6346
81	562	6294
82	564	6238
83	567	6189
84	569	6128
85	572	6080
86	573	6021
87	576	5970
88	578	5917
89	580	5871
90	583	5827
91	586	5786
92	589	5745
93	591	5697
94	593	5655
95	596	5613
96	598	5568
97	600	5527
98	602	5486
99	605	5451
100	608	5416
101	610	5372
102	613	5340
103	615	5306
104	618	5269
105	621	5239
106	624	5208
107	626	5177
108	629	5142
109	634	5129
110	638	5114
111	642	5092
112	645	5066
113	648	5037
114	650	5008
115	653	4980
116	658	4968
117	661	4947
118	665	4924
119	668	4904
120	672	4882
121	675	4864
122	677	4829
123	681	4810
124	684	4789
125	687	4767
126	690	4743
127	692	4715
128	695	4695
129	697	4670
130	700	4647
131	702	4622
132	705	4596
133	707	4575
134	710	4553
135	713	4534
136	716	4512
137	718	4489
138	722	4475
139	725	4456
140	728	4438
141	731	4417
142	733	4397
143	736	4378
144	740	4363
145	742	4344
146	745	4324
147	748	4306
148	751	4290
149	754	4273
150	756	4254
151	759	4239
152	763	4228
153	767	4214
154	770	4200
155	773	4183
156	776	4167
157	779	4152
158	782	4138
159	785	4123
160	787	4105
161	791	4091
162	793	4074
163	796	4058
164	801	4054
165	803	4035
166	805	4018
167	808	4003
168	811	3990
169	815	3982
170	818	3969
171	821	3955
172	824	3943
173	827	3927
174	829	3911
175	832	3899
176	835	3886
177	838	3873
178	842	3862
179	845	3850
180	847	3832
181	850	3821
182	852	3807
183	855	3795
184	857	3779
185	860	3766
186	865	3760
187	867	3748
188	870	3736
189	873	3724
190	877	3714
191	880	3705
192	883	3694
193	887	3685
194	890	3675
195	894	3667
196	896	3654
197	899	3642
198	902	3632
199	906	3624
200	910	3617
201	913	3609
202	918	3607
203	929	3626
204	934	3622
205	938	3618
206	943	3614
207	947	3607
208	952	3603
209	960	3612
210	962	3600
211	965	3588
212	968	3577
213	971	3567
214	973	3555
215	976	3543
216	978	3531
217	981	3520
218	983	3508
219	986	3497
220	989	3488
221	993	3481
222	996	3471
223	999	3462
224	1001	3451
225	1004	3440
226	1008	3433
227	1011	3423
228	1014	3416
229	1018	3410
230	1022	3404
231	1025	3396
232	1029	3387
233	1031	3378
234	1034	3368
235	1037	3357
236	1039	3347
237	1042	3338
238	1046	3332
239	1050	3327
240	1054	3321
241	1059	3317
242	1061	3307
243	1067	3306
244	1069	3296
245	1073	3289
246	1076	3282
247	1081	3278
248	1085	3273
249	1089	3268
250	1094	3266
251	1098	3260
252	1101	3252
253	1106	3249
254	1112	3251
255	1116	3244
256	1119	3236
257	1122	3229
258	1130	3234
259	1133	3226
260	1137	3221
261	1145	3227
262	1148	3218
263	1150	3208
264	1156	3206
265	1160	3202
266	1163	3193
267	1169	3193
268	1172	3185
269	1175	3178
270	1183	3183
271	1186	3175
272	1193	3178
273	1196	3169
274	1199	3161
275	1202	3154
276	1207	3152
277	1211	3146
278	1220	3152
279	1224	3149
280	1229	3146
281	1233	3140
282	1236	3132
283	1243	3135
284	1246	3127
285	1251	3124
286	1256	3120
287	1260	3116
288	1264	3111
289	1268	3105
290	1275	3107
291	1279	3101
292	1282	3094
293	1287	3090
294	1291	3085
295	1294	3078
296	1297	3071
297	1300	3064
298	1303	3056
299	1306	3048
300	1309	3040
301	1311	3031
302	1319	3035
303	1322	3028
304	1326	3022
305	1329	3016
306	1333	3009
307	1336	3002
308	1342	3001
309	1347	2998
310	1349	2989
311	1353	2984
312	1358	2981
313	1362	2975
314	1367	2974
315	1370	2967
316	1373	2958
317	1376	2951
318	1381	2948
319	1384	2941
320	1386	2933
321	1390	2927
322	1395	2924
323	1399	2919
324	1401	2911
325	1405	2905
326	1408	2898
327	1411	2891
328	1413	2883
329	1418	2880
330	1424	2878
331	1427	2872
332	1432	2869
333	1437	2866
334	1439	2858
335	1443	2851
336	1446	2846
337	1449	2839
338	1453	2833
339	1459	2832
340	1463	2827
341	1466	2820
342	1473	2823
343	1479	2820
344	1487	2824
345	1491	2818
346	1493	2811
347	1498	2808
348	1504	2806
349	1510	2805
350	1513	2797
351	1516	2791
352	1524	2793
353	1527	2787
354	1530	2780
355	1537	2781
356	1541	2776
357	1545	2771
358	1549	2767
359	1553	2761
360	1555	2753
361	1560	2750
362	1564	2744
363	1566	2737
364	1569	2731
365	1574	2727
366	1577	2720
367	1580	2714
368	1585	2712
369	1588	2705
370	1591	2697
371	1598	2698
372	1601	2692
373	1604	2685
374	1606	2678
375	1611	2674
376	1615	2669
377	1618	2662
378	1621	2656
379	1628	2657
380	1631	2651
381	1634	2644
382	1639	2640
383	1642	2635
384	1645	2628
385	1647	2621
386	1650	2615
387	1653	2608
388	1656	2602
389	1659	2595
390	1665	2594
391	1668	2588
392	1671	2582
393	1674	2575
394	1677	2569
395	1680	2562
396	1682	2556
397	1686	2550
398	1690	2546
399	1694	2541
400	1697	2535
401	1701	2530
402	1703	2523
403	1706	2518
404	1717	2523
405	1720	2517
406	1726	2515
407	1729	2509
408	1732	2503
409	1736	2498
410	1740	2494
411	1743	2488
412	1746	2482
413	1749	2476
414	1752	2470
415	1754	2463
416	1757	2457
417	1759	2450
418	1763	2445
419	1765	2437
420	1767	2430
421	1772	2427
422	1774	2421
423	1777	2414
424	1780	2409
425	1782	2402
426	1892	2539
427	1895	2533
428	1898	2526
429	1902	2522
430	1929	2547
431	1932	2541
432	1936	2535
433	1941	2531
434	1945	2526
435	1948	2520
436	1954	2518
437	1959	2514
438	1965	2511
439	1968	2505
440	1972	2500
441	1976	2495
442	1980	2490
443	1985	2486
444	1989	2481
445	1994	2477
446	1999	2473
447	2005	2470
448	2009	2465
449	2014	2462
450	2019	2458
451	2023	2453
452	2032	2454
453	2035	2447
454	2039	2442
455	2043	2437
456	2047	2432
457	2050	2427
458	2056	2423
459	2059	2417
460	2061	2410
461	2065	2405
462	2068	2399
463	2071	2393
464	2074	2387
465	2082	2386
466	2088	2383
467	2093	2380
468	2098	2376
469	2103	2371
470	2107	2367
471	2112	2362
472	2119	2361
473	2124	2357
474	2132	2356
475	2136	2352
476	2139	2346
477	2143	2340
478	2149	2337
479	2154	2333
480	2157	2328
481	2161	2323
482	2165	2317
483	2175	2319
484	2179	2314
485	2185	2311
486	2189	2306
487	2193	2300
488	2197	2296
489	2201	2291
490	2204	2285
491	2209	2281
492	2215	2277
493	2218	2272
494	2224	2269
495	2227	2263
496	2231	2258
497	2234	2251
498	2237	2246
499	2240	2240
500	2244	2235
501	2247	2230
502	2252	2225
503	2255	2219
504	2259	2215
505	2262	2209
506	2266	2203
507	2269	2197
508	2273	2192
509	2276	2187
510	2286	2187
511	2295	2187
512	2300	2184
513	2303	2178
514	2310	2176
515	2314	2171
516	2320	2168
517	2325	2164
518	2328	2158
519	2336	2156
520	2339	2151
521	2342	2145
522	2348	2142
523	2351	2136
524	2356	2131
525	2359	2126
526	2363	2121
527	2371	2119
